,sample,A_RelNAAF,C_RelNAAF,D_RelNAAF,E_RelNAAF,F_RelNAAF,G_RelNAAF,H_RelNAAF,K_RelNAAF,I/L_RelNAAF,M_RelNAAF,N_RelNAAF,P_RelNAAF,Q_RelNAAF,R_RelNAAF,S_RelNAAF,T_RelNAAF,V_RelNAAF,W_RelNAAF,Y_RelNAAF
0,T0 0.3-0.7 um,0.08677688153629683,0.019832233518707096,0.015600290876360334,0.01401602323901423,0.00517914859910095,0.020034570864599,0.00864754907250073,0.007915185100536811,0.1494267589803272,0.013727610904472276,0.03945678426778933,0.11199148162737142,0.005256558946518738,0.10094250996417763,0.16299955290796656,0.0980111446440849,0.13344546753768494,0.001516082659447855,0.005224164753043151
1,T0 >0.7 um,0.09195233583052244,0.0046206294443223595,0.007303651543535358,0.01188881386665519,0.004355018514238112,0.011457179314609463,0.0073343723599825885,0.008656017409036057,0.15888468528190233,0.005986968367804248,0.020561597009546524,0.1158101542207541,0.007879919186435269,0.11151392228833835,0.12214055413484015,0.10626765466312513,0.19770582358132355,0.0019328449272102706,0.003747858055818592
2,T24 0.3-0.7 um,0.08380974183186801,0.0034742504653972766,0.0013212569481478918,0.0044153164516823945,0.010255400683898096,0.013010861751625705,0.01825897927471869,0.014094088523384715,0.13314523261293593,0.008668522400220466,0.020056211663346438,0.12234364782656926,0.0015389801044558419,0.10812989600405239,0.1255284256201535,0.11716207396204682,0.2065289542136815,0.0017626966423603602,0.0064954630194547
3,T24 >0.7 um,0.09015640828306726,0.0032468521020236796,0.0036085528542468353,0.00315048598383261,0.0038832475188120166,0.0067775253311813735,0.005947962253632265,0.004732497106979118,0.14643285914028348,0.00469515717432528,0.023798390750141278,0.11764397642133582,0.0015332956493925812,0.11386237269305859,0.1445934539216587,0.11835103613551881,0.20353566093578082,0.0008662494050579478,0.003184016339671575
