GO Cellular Component,Time 0 small,T0 large,,T24 small,Time 24 large
ATP binding,30.4985337243402,26.2135922330097,,27.6752767527675,26.865671641791
DNA binding,19.6480938416422,22.3300970873786,,22.8782287822878,19.4029850746269
metal ion binding,17.5953079178886,17.4757281553398,,20.2952029520295,18.9054726368159
oxidoreductase activity,5.86510263929619,8.7378640776699,,7.01107011070111,5.4726368159204
ATPase,6.74486803519062,1.94174757281553,,4.0590405904059,4.47761194029851
zinc ion binding,6.74486803519062,7.76699029126214,,6.64206642066421,5.97014925373134
RNA binding,4.98533724340176,4.85436893203883,,5.16605166051661,6.46766169154229
hydrolase activity,4.39882697947214,8.7378640776699,,4.4280442804428,6.46766169154229
transmembrane transporter activity,3.51906158357771,1.94174757281553,,1.8450184501845,5.97014925373134
