GO Cellular Component,Time 0 small,T24 small,x,T0 large,Time 24 large
Chloroplast,0.2,0.2,0,0.2,0.2
Membrane,60.8695652173913,62.5407166123779,0,66.4516129032258,65.9459459459459
Mitochondria,0.72463768115942,0.977198697068404,0,0,1.08108108108108
Endoplasmic ,0.5,0.5,0,0.5,0.5
Golgi,0.48,0.48,0,0.48,0.48
Ribosome,0.72463768115942,2.60586319218241,0,1.93548387096774,1.62162162162162
Nucleus,6.97101449275362,8.44625407166124,0,7.38709677419355,8.72972972972973
Cytoplasm,29.5301449275362,24.2499674267101,0,23.0458064516129,21.4416216216216
